,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
10,100.0,50.0,444145,0,0,-3,3,0,3,2.5,0.8,6,Gabriel,2.0,12,False,,2023-09-17T20:30:06.235303Z,77,444145.jpg,3.7,Martinelli Silva,4.4,False,,a,1,3,22,302430,53868,1276116,13568,0.3,2.9,Martinelli,401,1,2,1,4,0,0,0,0,0,0,0,86,101.0,97.5,155.0,35.3,5,0.86,0.55,1.41,3.13,148.0,56.0,85.0,62.0,40.0,25.0,67.0,41.0,2.0,,3.0,,4.0,,0.19,0.0,0.12,0.31,0.7,0.9,17.0,10.0,170.0,74.0,81.0,36.0,80.0,23.0,1.12,0.22
11,,,205533,0,0,0,0,0,4,3.2,2.2,2,Eddie,2.7,13,False,,,55,205533.jpg,3.8,Nketiah,5.2,False,,a,1,3,30,624347,16829,524647,28673,0.5,5.5,Nketiah,567,2,2,5,4,0,0,0,1,0,0,2,82,75.6,73.7,172.0,31.3,7,1.97,0.28,2.25,4.42,199.0,20.0,122.0,14.0,32.0,14.0,83.0,17.0,,,,,,,0.31,0.0,0.04,0.35,0.7,0.63,106.0,31.0,119.0,14.0,76.0,12.0,75.0,13.0,1.11,0.79
12,,,184029,0,0,0,0,1,3,7.5,6.5,3,Martin,7.0,14,False,,,85,184029.jpg,5.8,Ødegaard,23.3,False,,a,1,3,46,964488,89807,1039412,57556,0.8,5.4,Ødegaard,712,3,2,4,5,0,0,0,1,0,0,6,153,210.4,209.4,197.0,61.6,8,2.61,1.05,3.66,6.27,27.0,9.0,22.0,17.0,25.0,14.0,18.0,14.0,3.0,,1.0,,2.0,,0.33,0.0,0.13,0.46,0.79,0.63,7.0,5.0,14.0,5.0,17.0,9.0,14.0,6.0,1.01,0.51
13,100.0,100.0,167199,0,0,-2,2,0,3,0.8,-0.2,1,Thomas,0.3,15,False,,2023-10-02T20:00:07.692080Z,48,167199.jpg,1.8,Partey,0.2,False,,a,1,3,7,8054,572,32324,414,0.1,1.5,Thomas,250,0,0,1,2,0,0,0,0,0,0,0,58,55.8,60.0,15.0,13.1,3,0.07,0.21,0.28,2.53,240.0,97.0,151.0,97.0,274.0,142.0,258.0,116.0,,,,,,,0.03,0.0,0.08,0.11,0.91,0.72,299.0,197.0,328.0,149.0,253.0,115.0,328.0,98.0,1.08,0.36
14,0.0,0.0,195735,0,0,-1,1,0,3,0.0,0.0,0,Nicolas,0.0,16,False,Permanent move to Trabzonspor,2023-09-11T14:13:51.462896Z,49,195735.jpg,0.0,Pépé,0.0,False,,u,1,3,0,667,0,5880,143,0.0,0.0,Pepe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,676.0,280.0,675.0,280.0,669.0,278.0,678.0,281.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,245.0,160.0,655.0,267.0,678.0,280.0,507.0,177.0,0.0,0.0
15,,,225321,-1,1,-2,2,0,1,0.5,-0.5,0,Aaron,0.0,17,False,,,48,225321.jpg,2.8,Ramsdale,10.0,False,,a,1,3,11,205908,3049,1002912,75152,0.0,2.3,Ramsdale,360,0,0,1,4,0,0,0,0,0,5,0,55,51.0,0.0,0.0,5.1,4,0.00,0.01,0.01,3.73,252.0,22.0,662.0,80.0,655.0,78.0,337.0,22.0,,,,,,,0.0,1.25,0.0,0.0,0.93,1.0,311.0,11.0,640.0,84.0,151.0,16.0,39.0,8.0,1.0,0.25
16,0.0,0.0,115918,0,0,0,0,0,1,0.0,0.0,0,Rúnar Alex,0.0,18,False,Season long loan to Cardiff City,2023-08-20T06:33:02.960208Z,40,115918.jpg,0.0,Rúnarsson,0.1,False,,u,1,3,0,990,0,8736,293,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,464.0,47.0,448.0,31.0,422.0,26.0,469.0,47.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,615.0,45.0,400.0,45.0,471.0,47.0,401.0,58.0,0.0,0.0
17,75.0,75.0,223340,-1,1,0,0,2,3,5.8,5.1,0,Bukayo,7.3,19,True,Hamstring injury - 75% chance of playing,2023-10-03T22:30:07.474324Z,85,223340.jpg,7.6,Saka,48.0,False,,d,1,3,53,1397930,44597,2490544,335262,0.9,6.2,Saka,613,4,3,3,6,0,0,0,1,0,0,8,195,269.2,294.5,290.0,85.3,7,3.98,2.46,6.44,5.87,8.0,3.0,6.0,4.0,7.0,5.0,4.0,3.0,1.0,,,,1.0,,0.58,0.0,0.36,0.94,0.86,0.88,8.0,6.0,12.0,4.0,1.0,1.0,2.0,1.0,1.03,0.44
18,75.0,100.0,462424,0,0,2,-2,0,2,3.9,4.2,7,William,4.7,20,False,Toe Injury - 75% chance of playing,2023-10-09T08:30:07.861646Z,52,462424.jpg,4.5,Saliba,25.3,False,,d,1,3,36,1438916,42558,969420,113793,0.9,6.9,Saliba,720,0,1,4,6,0,0,0,0,0,0,3,171,167.2,35.8,9.0,21.3,8,0.04,0.11,0.15,6.77,58.0,19.0,218.0,61.0,313.0,103.0,153.0,43.0,,,,,,,0.0,0.0,0.01,0.01,0.85,0.75,160.0,15.0,47.0,18.0,46.0,13.0,13.0,4.0,1.0,0.5
19,,,209289,0,0,-2,2,0,3,1.2,0.2,0,Emile,0.7,22,False,,,53,209289.jpg,1.0,Smith Rowe,0.1,False,,a,1,3,2,3694,247,12199,512,0.1,0.4,Smith Rowe,10,0,0,0,0,0,0,0,0,0,0,0,4,8.4,1.5,36.0,4.6,0,0.46,0.01,0.47,0.08,385.0,174.0,385.0,190.0,196.0,107.0,345.0,159.0,,,,,,,4.14,0.0,0.09,4.23,0.72,0.0,147.0,95.0,290.0,136.0,400.0,189.0,382.0,123.0,0.0,0.0
20,0.0,0.0,192895,0,0,-1,1,0,2,0.0,0.0,0,Kieran,0.0,24,False,Season long loan to Real Sociedad,2023-08-29T07:46:59.686803Z,44,192895.jpg,0.0,Tierney,0.1,False,,u,1,3,0,2665,0,26833,388,0.0,0.0,Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,556.0,218.0,545.0,216.0,529.0,210.0,560.0,217.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,509.0,117.0,509.0,197.0,565.0,218.0,387.0,148.0,0.0,0.0
21,100.0,100.0,223723,0,0,0,0,0,2,1.2,0.2,1,Takehiro,0.7,25,False,,2023-08-22T00:00:07.272418Z,45,223723.jpg,1.3,Tomiyasu,0.3,False,,a,1,3,8,13435,1052,19139,990,0.2,1.8,Tomiyasu,166,0,0,1,1,0,0,0,0,1,0,0,33,15.2,12.6,9.0,3.5,1,0.03,0.11,0.14,3.20,352.0,135.0,321.0,108.0,309.0,102.0,360.0,129.0,,,,,,,0.02,0.0,0.06,0.08,1.73,0.54,389.0,76.0,267.0,89.0,310.0,106.0,297.0,113.0,0.54,0.54
22,75.0,100.0,116216,0,0,-4,4,1,3,0.6,-0.2,1,Leandro,0.3,26,False,Hamstring injury - 75% chance of playing,2023-10-09T08:30:07.911344Z,66,116216.jpg,3.5,Trossard,1.6,False,,d,1,3,14,88240,1514,472688,14780,0.0,2.1,Trossard,173,1,0,1,2,0,0,0,0,0,0,3,56,63.2,88.4,33.0,18.4,2,0.09,0.75,0.84,1.89,225.0,92.0,97.0,70.0,207.0,111.0,183.0,89.0,,,,,,,0.05,0.0,0.39,0.44,0.98,1.04,43.0,26.0,350.0,162.0,102.0,42.0,135.0,40.0,1.04,0.52
23,,,198869,1,-1,1,-1,2,2,9.5,8.5,9,Benjamin,9.0,29,True,,,56,198869.jpg,5.6,White,12.6,False,,a,1,3,45,653011,180448,380929,19250,1.6,8.0,White,720,1,1,4,6,0,0,0,1,0,0,7,189,187.4,129.5,60.0,37.7,8,0.52,0.67,1.19,6.77,42.0,11.0,50.0,13.0,135.0,22.0,59.0,10.0,,,,,,,0.06,0.0,0.08,0.14,0.85,0.75,89.0,6.0,4.0,3.0,18.0,5.0,33.0,11.0,1.0,0.5
24,0.0,0.0,84450,0,0,0,0,0,3,0.0,0.0,0,Granit,0.0,30,False,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,60,84450.jpg,0.0,Xhaka,0.0,False,,u,1,3,0,0,0,1159,13,0.0,0.0,Xhaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,717.0,309.0,717.0,309.0,717.0,309.0,717.0,309.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,61.0,39.0,706.0,305.0,717.0,309.0,658.0,265.0,0.0,0.0
25,,,206325,0,0,-1,1,0,2,5.2,4.2,7,Oleksandr,4.7,31,False,,,49,206325.jpg,3.6,Zinchenko,5.6,False,,a,1,3,25,247501,31619,375769,16039,1.0,5.1,Zinchenko,421,0,0,3,4,0,0,0,0,0,0,2,124,74.6,100.9,40.0,21.6,5,0.28,0.36,0.64,4.00,202.0,80.0,80.0,16.0,182.0,42.0,149.0,40.0,,,,,,,0.06,0.0,0.08,0.14,0.86,0.86,250.0,30.0,43.0,14.0,85.0,31.0,74.0,29.0,1.07,0.64
26,,,154561,0,0,-2,2,0,1,5.2,4.2,6,David,4.7,113,False,,,48,154561.jpg,5.5,Raya Martin,3.7,False,,a,1,3,22,186884,45296,328911,9540,1.0,4.6,Raya,360,0,0,3,2,0,0,0,0,0,5,2,91,56.4,0.0,0.0,5.6,4,0.00,0.00,0.00,3.04,239.0,21.0,661.0,79.0,653.0,77.0,329.0,21.0,,,,,,,0.0,1.25,0.0,0.0,0.76,0.5,297.0,10.0,42.0,2.0,20.0,1.0,88.0,13.0,1.0,0.75
27,100.0,100.0,204480,0,0,-1,1,1,3,2.8,1.8,3,Declan,2.3,540,False,,2023-09-24T22:30:08.321972Z,54,204480.jpg,3.4,Rice,4.4,False,,a,1,3,27,169773,15843,379476,12875,0.4,5.0,Rice,665,1,0,4,5,0,0,0,0,0,0,3,141,169.2,91.0,74.0,33.5,8,0.67,0.55,1.22,6.06,55.0,21.0,93.0,69.0,109.0,64.0,73.0,43.0,,,,,,,0.09,0.0,0.07,0.16,0.82,0.68,127.0,81.0,137.0,56.0,106.0,45.0,78.0,22.0,1.08,0.54
28,100.0,100.0,200641,0,0,-1,1,0,3,1.2,0.2,0,Reiss,0.7,578,False,,2023-08-07T15:30:06.067296Z,49,200641.jpg,1.0,Nelson,0.0,False,,a,1,3,3,4670,206,4583,489,0.1,0.6,Nelson,35,0,0,0,0,0,0,0,0,0,0,0,14,10.4,30.6,10.0,5.1,0,0.02,0.14,0.16,0.53,372.0,165.0,232.0,128.0,305.0,159.0,338.0,157.0,,,,,5.0,,0.05,0.0,0.36,0.41,1.36,0.0,246.0,161.0,282.0,130.0,390.0,181.0,509.0,178.0,0.0,0.0
29,0.0,0.0,445122,0,0,-3,3,0,2,0.0,0.0,0,Jurriën,0.0,585,False,Knee injury - Unknown return date,2023-08-12T18:00:07.121160Z,47,445122.jpg,0.0,Timber,0.5,False,,i,1,3,0,11491,74,469919,1804,0.0,0.0,J.Timber,49,0,0,0,0,0,0,0,1,0,0,0,3,3.6,2.4,0.0,0.6,1,0.00,0.01,0.01,0.28,410.0,150.0,374.0,137.0,648.0,231.0,418.0,149.0,,,,,,,0.0,0.0,0.02,0.02,0.51,0.0,336.0,42.0,627.0,221.0,662.0,233.0,223.0,87.0,1.84,0.0
30,,,463748,0,0,0,0,0,1,0.5,-0.5,0,Karl,0.0,646,False,,,40,463748.jpg,0.0,Hein,0.0,False,,a,1,3,0,2667,193,1615,181,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,510.0,66.0,494.0,50.0,470.0,45.0,515.0,66.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,670.0,64.0,447.0,64.0,518.0,66.0,511.0,67.0,0.0,0.0
31,50.0,0.0,106468,0,0,0,0,0,2,0.0,0.0,0,Alexandre,0.0,32,False,Hamstring injury - 50% chance of playing,2023-09-24T22:30:06.810510Z,50,106468.jpg,0.0,Moreno Lopera,0.1,False,,d,2,7,0,6754,139,7707,545,0.0,0.0,Alex Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,689.0,234.0,686.0,234.0,681.0,233.0,689.0,234.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,173.0,23.0,670.0,225.0,690.0,234.0,495.0,190.0,0.0,0.0
32,100.0,100.0,215711,0,0,0,0,1,3,0.7,0.7,1,Leon,0.7,34,False,,2023-09-28T04:00:07.310756Z,55,215711.jpg,3.8,Bailey,1.0,False,,a,2,7,23,208530,3690,203025,6198,0.1,4.2,Bailey,209,2,1,1,4,0,0,0,1,0,0,3,68,99.8,67.2,61.0,22.8,2,1.09,1.05,2.14,5.41,152.0,58.0,136.0,88.0,132.0,78.0,139.0,74.0,,,3.0,,,,0.47,0.0,0.45,0.92,2.33,1.72,108.0,66.0,293.0,139.0,77.0,33.0,167.0,54.0,0.86,0.43
33,0.0,0.0,195546,0,0,-2,2,0,3,0.0,0.0,0,Emiliano,0.0,35,False,Knee injury - Expected back 10 Feb,2023-08-10T11:00:05.686871Z,58,195546.jpg,0.0,Buendía Stati,0.0,False,,i,2,7,0,446,45,16427,100,0.0,0.0,Buendia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,715.0,307.0,715.0,307.0,715.0,307.0,715.0,307.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,78.0,47.0,704.0,303.0,715.0,307.0,522.0,185.0,0.0,0.0
34,,,199796,1,-1,6,-6,1,2,4.7,4.7,2,Matty,4.7,36,False,,,51,199796.jpg,4.5,Cash,32.1,False,,a,2,7,36,2828293,232052,451528,38961,0.9,7.1,Cash,707,2,1,2,11,1,0,0,2,0,0,4,137,192.6,46.5,221.0,46.1,8,3.12,0.83,3.95,11.96,36.0,10.0,185.0,47.0,22.0,1.0,37.0,5.0,,,,,,,0.4,0.0,0.11,0.51,1.52,1.4,164.0,17.0,44.0,15.0,45.0,12.0,10.0,2.0,1.02,0.25
35,,,101184,0,0,-1,1,0,2,0.0,0.0,0,Calum,0.0,37,False,,,39,101184.jpg,0.0,Chambers,1.0,False,,a,2,7,0,24922,2879,57227,2908,0.0,0.0,Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,436.0,157.0,417.0,153.0,390.0,138.0,440.0,156.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,703.0,222.0,369.0,121.0,443.0,155.0,165.0,66.0,0.0,0.0
36,0.0,0.0,84583,0,0,-2,2,0,3,0.0,0.0,0,Philippe,0.0,38,False,Joined Al-Duhail on loan for the rest of the season,2023-08-20T22:00:05.790965Z,58,84583.jpg,1.0,Coutinho Correia,0.2,False,,u,2,7,2,4781,0,45717,517,0.0,0.3,Coutinho,24,0,0,0,1,0,0,0,0,0,0,0,7,4.0,2.8,12.0,1.8,0,0.15,0.02,0.17,0.68,407.0,186.0,370.0,185.0,292.0,152.0,405.0,187.0,,,,,,,0.56,0.0,0.08,0.64,2.55,3.75,74.0,45.0,702.0,302.0,406.0,194.0,323.0,97.0,0.0,0.0
37,0.0,0.0,221239,0,0,-1,1,0,4,0.0,0.0,0,Keinan,0.0,39,False,Transferred to Udinese,2023-09-03T20:12:01.415986Z,49,221239.jpg,0.0,Davis,0.1,False,,u,2,7,0,4950,0,20667,449,0.0,0.0,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,678.0,81.0,677.0,83.0,672.0,82.0,680.0,82.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,256.0,52.0,659.0,82.0,680.0,83.0,366.0,59.0,0.0,0.0
38,100.0,100.0,151589,0,0,-1,1,0,3,0.3,0.3,0,Leander,0.3,40,False,,2023-08-10T15:00:04.947940Z,49,151589.jpg,1.0,Dendoncker,0.0,False,,a,2,7,2,647,110,1888,94,0.1,0.4,Dendoncker,2,0,0,0,0,0,0,0,0,0,0,0,6,5.2,0.1,0.0,0.5,0,0.00,0.00,0.00,0.19,398.0,183.0,409.0,198.0,666.0,275.0,421.0,195.0,,,,,,,0.0,0.0,0.0,0.0,8.55,0.0,236.0,153.0,337.0,157.0,387.0,179.0,613.0,240.0,0.0,0.0
39,100.0,100.0,165659,0,0,-1,1,0,2,0.7,0.7,2,Diego Carlos,0.7,41,False,,2023-09-04T05:00:07.186249Z,44,165659.jpg,1.2,Santos Silva,0.3,False,,a,2,7,6,13623,1590,34893,701,0.2,1.4,Diego Carlos,250,0,0,0,5,0,0,0,0,0,0,0,40,51.8,12.3,45.0,10.9,3,0.37,0.02,0.39,3.65,249.0,101.0,325.0,112.0,165.0,33.0,276.0,96.0,,,,,,,0.13,0.0,0.01,0.14,1.31,1.8,501.0,112.0,262.0,87.0,319.0,107.0,266.0,102.0,1.08,0.0
40,,,101188,1,-1,2,-2,1,2,2.7,2.7,2,Lucas,2.7,42,False,,,47,101188.jpg,3.5,Digne,6.0,False,,a,2,7,28,630626,29816,179614,18926,0.6,6.0,Digne,710,0,3,2,12,0,0,0,4,0,0,2,133,150.0,244.0,43.0,43.6,8,0.14,0.99,1.13,12.29,83.0,28.0,14.0,4.0,174.0,37.0,43.0,7.0,2.0,,2.0,,,,0.02,0.0,0.13,0.15,1.56,1.52,327.0,38.0,110.0,43.0,95.0,34.0,68.0,26.0,1.01,0.25
41,,,230046,0,0,-1,1,1,3,4.0,4.0,2,Douglas Luiz,4.0,43,False,,,54,230046.jpg,4.2,Soares de Paulo,3.6,False,,a,2,7,34,277164,22150,189847,21304,0.7,6.3,Douglas Luiz,669,3,0,2,12,0,0,0,4,0,0,5,161,192.4,133.4,100.0,42.5,8,2.29,0.89,3.18,12.24,37.0,13.0,48.0,33.0,75.0,44.0,45.0,29.0,1.0,,1.0,,1.0,,0.31,0.0,0.12,0.43,1.65,1.61,129.0,83.0,59.0,27.0,55.0,24.0,90.0,27.0,1.08,0.27
42,100.0,100.0,476344,0,0,0,0,0,4,0.3,0.3,0,Jhon,0.3,44,False,,2023-08-10T15:00:04.972558Z,50,476344.jpg,2.5,Durán,0.3,False,,a,2,7,15,38120,1655,22148,2843,0.1,3.0,Duran,68,2,0,0,0,0,0,0,2,0,0,3,55,72.6,14.2,55.0,13.7,0,0.73,0.01,0.74,1.12,211.0,21.0,305.0,44.0,143.0,35.0,248.0,37.0,,,,,,,0.97,0.0,0.01,0.98,1.48,0.0,208.0,46.0,340.0,47.0,175.0,27.0,286.0,47.0,0.0,0.0
43,,,123354,0,0,0,0,0,2,0.0,0.0,0,Kortney,0.0,45,False,,,40,123354.jpg,0.0,Hause,0.2,False,,a,2,7,0,5875,796,9815,648,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,468.0,170.0,452.0,167.0,426.0,153.0,473.0,170.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,619.0,168.0,404.0,136.0,475.0,168.0,327.0,127.0,0.0,0.0
