assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,3,277,100.0,100.0,4,58822,0,0,-2,2,205.1,187,43,0,2,3.3,1.8,2,Cédric,2.3,19,1,67.1,229,67,486,False,346.4,203,74,1475,,2020-06-19T23:30:18.204187Z,48,0,0,0,58822.jpg,3.0,0,0,Soares,0.3,False,,a,1,3,118.0,257,71,59,34756,2178,40109,361,0.5,12.3,Cédric,1
6,9,334,100.0,100.0,5,195735,0,0,-6,6,578.7,35,28,2,3,3.1,1.6,2,Nicolas,2.1,28,5,167.5,49,26,488,False,480.6,132,50,1903,,2019-12-11T12:30:12.556688Z,89,0,0,0,195735.jpg,3.6,0,0,Pépé,3.1,False,,a,1,3,614.0,57,30,103,681849,4110,846073,2524,0.2,11.6,Pépé,4
1,0,98,100.0,100.0,2,200641,0,0,-2,2,133.8,242,142,0,3,2.3,0.8,6,Reiss,1.3,7,1,39.8,326,144,489,False,101.4,375,158,604,,2020-01-18T17:00:23.535651Z,53,0,0,0,200641.jpg,1.8,0,0,Nelson,0.1,False,,a,1,3,163.0,220,115,29,14625,1005,20137,88,0.2,5.5,Nelson,1
1,0,146,100.0,100.0,1,200089,0,0,-3,3,163.7,218,132,0,3,3.1,1.6,1,Joseph,2.1,15,1,54.5,274,131,490,False,176.8,320,137,771,,2019-09-07T11:30:17.190466Z,47,0,0,0,200089.jpg,1.5,0,0,Willock,0.2,False,,a,1,3,206.0,186,100,40,31174,103,35592,176,0.4,8.5,Willock,1
1,5,129,0.0,0.0,2,444145,0,0,-2,2,36.6,362,54,0,4,0.0,0.0,0,Gabriel Teodoro,0.0,9,3,42.5,319,46,504,False,162.8,328,38,656,Knee injury - Unknown return date,2020-06-24T13:00:17.558412Z,43,0,0,0,444145.jpg,2.8,0,0,Martinelli Silva,1.8,False,,i,1,3,226.0,173,48,39,577746,243,552672,2378,0.0,9.1,Martinelli,1
1,3,177,100.0,100.0,2,192895,0,0,-2,2,107.0,262,73,0,2,4.6,3.1,2,Kieran,3.6,14,0,29.3,354,128,515,False,136.8,346,135,866,,2019-12-09T22:00:21.790216Z,53,0,0,0,192895.jpg,2.3,0,0,Tierney,0.9,False,,a,1,3,48.0,340,120,30,126421,13363,124505,871,0.7,5.7,Tierney,2
6,4,259,100.0,100.0,7,223340,0,0,2,-2,309.9,131,82,0,3,4.6,3.1,2,Bukayo,3.6,17,1,87.8,165,85,541,False,326.0,217,88,1687,,2020-02-02T17:00:24.409161Z,47,0,0,0,223340.jpg,2.8,0,0,Saka,5.9,False,,a,1,3,242.0,163,93,70,918276,20838,490789,9151,0.8,14.9,Saka,6
0,0,13,0.0,0.0,1,209289,0,0,-2,2,6.3,430,196,0,3,0.0,0.0,0,Emile,0.0,0,0,1.6,477,200,576,False,9.8,465,194,96,Joined Huddersfield Town on loan until the end of the season on 10/1. - Expected back 01 Aug,2020-01-10T20:00:21.634861Z,43,0,0,0,209289.jpg,2.0,0,0,Smith Rowe,0.0,False,,n,1,3,0.0,544,216,4,5929,13,4367,44,0.0,0.9,Smith Rowe,0
0,0,0,0.0,0.0,0,232233,0,0,-1,1,0.0,581,78,0,4,0.0,0.0,0,Tyreece,0.0,0,0,0.0,594,77,585,False,0.0,591,77,0,Joined Lincoln City on loan until the end of the season on 10/1. - Expected back 01 Aug,2020-01-16T10:30:19.626655Z,44,0,0,0,232233.jpg,0.0,0,0,John-Jules,0.0,False,,n,1,3,0.0,565,76,0,887,37,758,31,0.0,0.0,John-Jules,0
0,1,31,0.0,0.0,1,92371,0,0,-6,6,1.7,452,170,0,2,0.0,0.0,0,Pablo,0.0,0,0,3.0,463,169,617,False,27.8,439,164,113,Ankle injury - Expected back 25 Sep,2020-06-17T22:00:17.468334Z,44,0,0,0,92371.jpg,4.0,0,0,Marí,0.0,False,,i,1,3,0.0,554,211,8,13698,6,12313,55,0.0,1.8,Marí,0
