chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,79852,0,0,-1,1,0,1,-0.5,-0.5,0,Jed,0.0,32,False,,,39,79852.jpg,0.0,Steer,4.4,False,,a,2,7,0,418448,0,447236,0,0.0,0.0,Steer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,512,45,491,17,465,12,522,45,,,,,,
0.0,0.0,85242,0,0,-1,1,1,3,0.0,0.0,0,Conor,0.0,33,False,Joined Swansea City on loan until the end of the season on 20/1,2021-01-20T23:00:22.557566Z,59,85242.jpg,5.0,Hourihane,0.1,False,,u,2,7,20,23841,0,27592,0,0.0,3.4,Hourihane,225,1,1,2,2,0,0,0,0,0,0,3,70,65.4,82.9,33.0,18.2,406,175,299,167,372,178,390,175,,,,,,
0.0,0.0,89274,0,0,-1,1,0,3,0.0,0.0,0,José Ignacio,0.0,34,False,Contract ended,2020-10-05T07:17:10.828418Z,59,89274.jpg,0.0,Peleteiro Romallo,0.0,False,,u,2,7,0,1439,0,7779,0,0.0,0.0,Jota,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,709,294,710,294,710,294,711,294,,,,,,
0.0,0.0,98770,0,0,0,0,0,1,0.0,0.0,0,Ørjan,0.0,35,False,Contract terminated on 5/10,2020-10-05T21:00:11.316167Z,40,98770.jpg,0.0,Nyland,3.3,False,,u,2,7,0,145134,0,953664,0,0.0,0.0,Nyland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,527,51,507,24,483,19,537,51,,,,,,
100.0,100.0,108156,0,0,-1,1,0,2,-0.5,-0.5,0,Bjorn,0.0,36,False,,2020-11-19T11:00:18.103635Z,44,108156.jpg,0.0,Engels,0.1,False,,a,2,7,0,12320,0,19555,0,0.0,0.0,Engels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,599,232,587,233,569,228,608,232,,,,,,
100.0,100.0,114283,0,0,5,-5,2,3,0.2,0.5,2,Jack,1.0,37,False,,2021-02-21T17:00:26.185544Z,75,114283.jpg,5.2,Grealish,14.6,False,,a,2,7,135,5460292,0,5366064,0,0.1,18.0,Grealish,2183,6,12,12,28,0,0,0,6,0,0,13,531,700.2,1013.0,905.0,261.7,43,15,9,6,24,11,11,7,3.0,,2.0,,2.0,
,,122806,0,0,0,0,0,3,1.8,1.7,1,John,2.2,38,False,,,55,122806.jpg,3.1,McGinn,1.1,False,,a,2,7,114,375366,0,353403,0,0.4,20.7,McGinn,3330,3,7,14,46,0,0,0,12,0,0,2,492,572.6,589.9,360.0,152.3,85,26,43,31,103,61,66,38,,,,,,
100.0,100.0,123354,0,0,-1,1,1,2,-0.2,0.2,2,Kortney,0.7,39,False,,2021-01-26T11:00:18.448973Z,44,123354.jpg,4.6,Hause,0.1,False,,a,2,7,32,80874,0,80700,0,0.2,7.3,Hause,630,1,0,3,6,0,0,0,2,0,0,3,124,121.0,2.2,57.0,18.1,355,137,448,172,341,119,391,140,,,,,,
0.0,0.0,148508,0,0,-3,3,1,3,0.0,0.0,0,Mahmoud Ahmed,0.0,40,False,Knee injury - Unknown return date,2021-04-10T19:30:20.757046Z,52,148508.jpg,2.7,Ibrahim Hassan,0.4,False,,i,2,7,56,68773,0,142486,0,0.0,10.8,Trézéguet,1157,2,1,6,14,0,0,0,0,0,0,3,152,213.6,180.1,478.0,86.7,282,119,205,125,72,40,179,98,,,,,,
100.0,100.0,149484,0,0,4,-4,2,2,1.2,1.7,2,Tyrone,2.2,41,False,,2021-05-16T14:00:17.935003Z,54,149484.jpg,3.6,Mings,7.8,False,,a,2,7,128,1697898,0,1349321,0,0.4,23.7,Mings,3194,2,2,14,42,1,0,0,4,1,0,8,633,772.0,97.3,293.0,116.7,24,5,276,75,136,18,106,19,,,,,,
,,169359,0,0,5,-5,2,2,1.8,2.5,5,Matt,3.0,42,False,,,50,169359.jpg,3.6,Targett,12.0,False,,a,2,7,138,1849292,0,997089,0,0.6,27.6,Targett,3404,0,4,16,44,0,0,0,7,0,0,9,710,657.4,595.8,122.0,137.8,58,20,42,9,260,78,78,12,5.0,,6.0,,,
0.0,0.0,184386,0,0,0,0,0,2,0.0,0.0,0,James,0.0,43,False,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,184386.jpg,0.0,Bree,0.0,False,,u,2,7,0,9840,0,10323,0,0.0,0.0,Bree,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,622,235,614,236,600,231,629,235,,,,,,
