chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
,,86153,0,0,0,0,0,2,0.6,,0,Martín,0.0,63,False,,,45,86153.jpg,2.3,Montoya,0.3,False,,a,3,36,62,0,0,0,0,0.0,13.8,Montoya,1892,0,1,6,32,0,0,0,5,0,0,3,313,337.4,338.0,177.0,85.5,186,71,105,22,185,43,162,44
,,93284,0,0,0,0,0,4,0.3,,0,Florin,0.0,64,False,,,50,93284.jpg,1.7,Andone,0.3,False,,a,3,36,5,0,0,0,0,0.0,1.0,Andone,71,1,0,0,2,0,0,0,0,1,0,1,20,45.0,11.3,21.0,7.6,341,45,329,49,305,48,344,47
,,109345,0,0,0,0,0,3,0.4,,0,Solomon,0.0,65,False,,,50,109345.jpg,2.0,March,0.0,False,,a,3,36,38,0,0,0,0,0.0,7.6,March,1139,0,1,4,15,0,0,0,2,0,0,3,129,189.4,239.6,274.0,70.4,269,116,149,96,126,72,196,98
,,110735,0,0,0,0,0,2,0.6,,0,Adam,0.0,66,False,,,45,110735.jpg,2.8,Webster,3.3,False,,a,3,36,88,0,0,0,0,0.0,19.6,Webster,2668,3,1,5,44,1,0,0,4,0,0,7,514,696.6,153.2,221.0,107.3,51,19,196,48,154,31,119,29
,,111478,0,0,0,0,0,2,0.6,,0,Joël,0.0,67,False,,,45,111478.jpg,0.0,Veltman,0.4,False,,a,3,36,0,0,0,0,0,0.0,0.0,Veltman,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,412,158,402,158,388,154,412,158
,,115382,0,0,0,0,0,4,1.1,,0,Neal,0.0,68,False,,,65,115382.jpg,3.5,Maupay,2.7,False,,a,3,36,131,0,0,0,0,0.0,20.2,Maupay,2763,10,3,8,36,0,0,1,3,0,0,21,361,518.6,369.2,1519.0,240.5,111,16,96,12,7,5,22,8
,,116216,0,0,0,0,0,3,1.1,,0,Leandro,0.0,69,False,,,60,116216.jpg,3.4,Trossard,0.6,False,,a,3,36,104,0,0,0,0,0.0,17.3,Trossard,2004,5,5,4,34,0,0,0,0,0,0,9,352,411.4,585.4,540.0,153.2,159,65,34,28,58,31,56,32
,,131897,0,0,0,0,0,1,0.7,,0,Mathew,0.0,70,False,,,45,131897.jpg,3.6,Ryan,24.7,False,,a,3,36,135,0,0,0,0,0.0,30.0,Ryan,3420,0,0,9,54,0,0,0,0,0,117,14,754,1000.0,0.0,0.0,100.1,9,2,404,34,390,30,132,2
,,165210,0,0,0,0,0,3,0.8,,0,Alireza,0.0,71,False,,,55,165210.jpg,2.8,Jahanbakhsh,0.1,False,,a,3,36,28,0,0,0,0,0.0,5.1,Jahanbakhsh,305,2,1,1,4,0,0,0,0,0,0,2,90,90.6,62.5,106.0,25.9,315,134,268,137,226,116,301,132
0.0,,167473,0,0,0,0,0,3,0.0,,0,José,0.0,72,False,Knee injury - Unknown return date,2020-08-15T10:00:11.482611Z,55,167473.jpg,0.0,Izquierdo,0.0,False,,i,3,36,0,0,0,0,0,0.0,0.0,Izquierdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,474,194,474,194,472,194,474,194
,,178173,0,0,0,0,0,2,0.6,,0,Matthew,0.0,73,False,,,45,178173.jpg,0.0,Clarke,0.1,False,,a,3,36,0,0,0,0,0,0.0,0.0,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,421,162,412,162,398,158,421,162
,,198869,0,0,0,0,0,2,0.6,,0,Ben,0.0,74,False,,,45,198869.jpg,0.0,White,2.5,False,,a,3,36,0,0,0,0,0,0.0,0.0,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,425,164,416,164,403,161,425,164
,,209362,0,0,0,0,0,2,0.0,,0,Bernardo,0.0,75,False,,,40,209362.jpg,1.5,Fernandes da Silva Junior,10.3,False,,a,3,36,21,0,0,0,0,0.0,5.2,Bernardo,675,0,0,1,17,0,0,0,1,0,0,3,121,154.0,72.6,92.0,31.9,285,108,253,82,243,77,292,103
,,227127,0,0,0,0,0,3,0.0,,0,Yves,0.0,76,False,,,45,227127.jpg,1.8,Bissouma,2.0,False,,a,3,36,39,0,0,0,0,0.0,8.7,Bissouma,1253,1,0,4,18,0,0,0,4,0,0,0,207,238.8,110.6,101.0,45.1,240,101,218,124,233,119,266,121
,,232792,0,0,0,0,0,2,0.6,,0,Tariq,0.0,77,False,,,45,232792.jpg,2.9,Lamptey,3.6,False,,a,3,36,26,0,0,0,0,0.0,5.8,Lamptey,619,0,1,3,8,0,0,0,2,0,0,0,136,91.8,82.1,27.0,20.2,314,118,240,74,298,108,318,115
,,233425,0,0,0,0,0,4,0.5,,0,Aaron,0.0,78,False,,,55,233425.jpg,2.5,Connolly,0.7,False,,a,3,36,61,0,0,0,0,0.0,11.1,Connolly,1250,3,3,5,22,0,0,0,0,0,0,5,146,150.6,91.4,530.0,76.0,289,35,234,36,60,27,181,29
,,235382,0,0,0,0,0,3,0.0,,0,Steven,0.0,79,False,,,45,235382.jpg,1.7,Alzate,0.3,False,,a,3,36,33,0,0,0,0,0.0,7.3,Alzate,1181,0,0,3,18,0,0,0,1,0,0,0,183,202.0,214.1,205.0,62.3,261,113,162,106,166,90,222,106
,,243016,0,0,0,0,0,3,0.8,,0,Alexis,0.0,80,False,,,55,243016.jpg,1.3,Mac Allister,0.1,False,,a,3,36,12,0,0,0,0,0.0,2.2,Mac Allister,348,0,0,0,6,0,0,0,0,0,0,0,35,28.4,73.8,66.0,16.9,347,146,248,130,268,132,324,140
,,17761,0,0,0,0,0,2,0.0,,0,James,0.0,81,False,,,55,17761.jpg,3.8,Tarkowski,8.4,False,,a,4,90,143,0,0,0,0,0.0,26.0,Tarkowski,3420,2,3,15,50,0,0,0,10,0,0,14,690,919.8,167.1,410.0,149.9,13,3,185,45,83,9,60,8
,,17997,0,0,0,0,0,2,0.0,,0,Phil,0.0,82,False,,,45,17997.jpg,3.7,Bardsley,1.0,False,,a,4,90,78,0,0,0,0,0.0,17.3,Bardsley,1890,0,2,9,19,0,0,0,6,0,0,6,358,350.6,164.0,109.0,62.5,180,67,187,46,224,65,220,70
