assists,id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,185,0,0,0.0,0.0,0,149266,0,0,-1,1,0.0,0,2,0.0,0.0,0,Alfie,0.0,0,0,0.0,False,0.0,0,Joined Bristol City on loan until the end of the season on 6/9. - Expected back 01 Jul,2020-09-07T02:00:12.698046Z,44,0,0,0,149266.jpg,0.0,0,0,Mawson,0.0,False,,n,8,54,0.0,0,186,10,1313,52,0.0,0.0,Mawson,0
0,186,0,11,,,0,155529,0,0,-1,1,0.0,0,1,0.0,-0.5,0,Marek,0.0,3,0,1.8,False,18.2,90,,,44,0,0,0,155529.jpg,1.0,0,2,Rodák,0.4,False,,a,8,54,0.0,1,8645,622,19601,1359,0.0,0.2,Rodák,0
0,187,0,39,,,0,166324,0,0,-1,1,122.0,0,3,1.0,0.5,0,Ivan Ricardo,1.0,12,0,20.4,False,37.8,426,,,54,0,0,0,166324.jpg,1.8,0,0,Neves Abreu Cavaleiro,0.1,False,,a,8,54,45.0,9,2728,78,7463,579,0.2,1.7,Cavaleiro,1
0,188,0,7,0.0,0.0,0,168765,0,0,-2,2,7.4,0,3,0.0,0.0,0,Josh,0.0,7,0,2.1,False,12.0,131,Not included in Fulham's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.592793Z,48,0,0,0,168765.jpg,1.5,0,0,Onomah,0.1,False,,n,8,54,2.0,3,1909,10,11284,969,0.0,0.6,Onomah,0
0,189,0,0,0.0,0.0,0,170271,0,0,-3,3,0.0,0,3,0.0,0.0,0,Jean Michaël,0.0,0,0,0.0,False,0.0,0,Not included in Fulham's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.607195Z,47,0,0,0,170271.jpg,0.0,0,0,Seri,0.1,False,,n,8,54,0.0,0,2678,5,8798,720,0.0,0.0,Seri,0
0,190,0,-4,0.0,,0,197030,0,0,-1,1,43.3,0,3,0.0,-0.8,-2,Aboubakar,-0.3,8,0,8.0,False,10.8,214,Suspended until 28 Nov,2020-10-24T16:30:15.981006Z,49,0,0,0,197030.jpg,0.4,1,0,Kamara,0.1,False,,s,8,54,32.0,2,4053,32,8999,1011,-0.1,0.4,Kamara,1
1,191,0,92,,,0,203325,0,0,0,0,104.7,0,3,1.7,1.2,2,André-Frank,1.7,11,0,26.6,False,115.8,452,,,45,0,0,0,203325.jpg,2.2,0,0,Zambo Anguissa,2.2,False,,a,8,54,45.0,13,224296,2724,137146,10248,0.4,2.9,Anguissa,1
0,192,0,0,0.0,0.0,0,208998,-1,1,-2,2,0.0,0,2,0.0,0.0,0,Zeze Steven,0.0,0,0,0.0,False,0.0,0,Joined Bristol City on loan until the end of the season on 7/9. - Expected back 01 Jul,2020-09-08T09:30:15.158422Z,43,0,0,0,208998.jpg,0.0,0,0,Sessegnon,0.1,False,,n,8,54,0.0,0,380,21,7437,209,0.0,0.0,Sessegnon,0
1,373,0,44,100.0,75.0,0,153366,0,0,0,0,30.1,0,3,1.3,0.6,4,Harrison,1.3,7,0,8.0,False,41.8,170,,2020-09-30T13:30:17.140962Z,45,0,0,0,153366.jpg,2.7,0,0,Reed,0.7,False,,a,8,54,8.0,8,45968,954,77604,2355,0.3,1.8,Reed,0
0,484,0,48,,,0,169528,0,0,-1,1,94.2,0,2,1.7,1.2,1,Antonee,1.7,4,0,19.5,False,72.8,270,,,44,0,0,0,169528.jpg,1.7,0,0,Robinson,0.1,False,,a,8,54,27.0,5,3039,751,5611,516,0.4,1.1,Robinson,0
