element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
3,0,1,4.3,6.86,20.15,22.69,25.79,12.68,4.8,4.8,4.8,5.36,13.0,20.36,12.26,20.8,2,0,1.3,1.2,0.8,0.8,23.7,15.6,24.8,22.6,32.9,15.4,40.9,18.7,108.3,102.4,125.6,132.7,102.2,30.2,143.4,36.5,119.9,21.4,141.4,16.8,80.5,84.4,72.8,103.6,2
1,1,0,3.8,2.08,20.81,0.0,0.0,17.64,3.6,4.1,3.6,2.88,18.0,28.84,0.0,0.0,3,1,1.9,1.4,2.2,2.0,21.4,11.1,16.8,4.7,25.7,13.5,22.4,9.1,97.7,93.2,88.6,65.3,73.0,21.4,70.7,10.2,86.4,20.2,65.0,15.5,75.8,69.1,59.5,43.7,2
3,0,1,3.5,5.86,17.17,28.38,12.89,13.83,3.6,3.6,3.6,8.18,16.2,19.92,39.58,22.0,2,1,1.0,1.9,1.2,2.0,29.8,22.6,31.8,20.4,43.9,20.0,35.6,14.8,137.9,104.4,138.7,87.5,141.0,53.7,97.5,36.7,160.8,41.7,120.4,23.8,112.7,109.2,122.8,103.2,2
3,0,1,3.1,5.14,13.66,20.25,17.61,10.29,1.2,1.2,1.2,2.0,2.6,4.24,6.88,8.8,2,0,1.3,1.2,0.8,0.8,23.7,15.6,24.8,22.6,32.9,15.4,40.9,18.7,108.3,102.4,125.6,132.7,102.2,30.2,143.4,36.5,119.9,21.4,141.4,16.8,80.5,84.4,72.8,103.6,5
3,0,1,5.9,8.43,27.35,30.73,26.14,22.4,7.2,7.7,7.2,8.52,24.2,34.88,22.88,27.4,3,1,1.9,1.4,2.2,2.0,21.4,11.1,16.8,4.7,25.7,13.5,22.4,9.1,97.7,93.2,88.6,65.3,73.0,21.4,70.7,10.2,86.4,20.2,65.0,15.5,75.8,69.1,59.5,43.7,2
3,0,1,1.0,1.71,3.39,5.15,8.58,3.26,0.8,1.3,1.25,1.2,4.25,2.75,6.35,2.75,3,1,1.9,1.4,2.2,2.0,21.4,11.1,16.8,4.7,25.7,13.5,22.4,9.1,97.7,93.2,88.6,65.3,73.0,21.4,70.7,10.2,86.4,20.2,65.0,15.5,75.8,69.1,59.5,43.7,3
4,0,1,3.6,5.89,15.91,20.86,22.19,13.11,5.0,5.0,5.0,8.56,20.4,27.76,25.22,32.6,2,1,1.1,1.4,1.5,1.8,25.0,20.6,32.2,21.8,35.8,18.2,54.7,22.4,116.6,109.8,170.7,123.2,117.6,41.1,191.6,55.6,123.6,31.3,184.8,44.3,99.2,100.4,135.7,113.8,16
3,0,1,4.2,5.74,19.16,21.89,16.4,15.71,6.4,6.4,6.4,8.52,22.0,31.64,28.06,25.4,2,1,1.0,1.9,1.2,2.0,29.8,22.6,31.8,20.4,43.9,20.0,35.6,14.8,137.9,104.4,138.7,87.5,141.0,53.7,97.5,36.7,160.8,41.7,120.4,23.8,112.7,109.2,122.8,103.2,5
4,0,1,4.7,6.99,22.54,11.29,36.0,14.86,2.2,1.7,2.2,3.12,3.2,4.36,10.2,16.4,3,1,1.8,1.6,1.6,2.8,24.9,12.7,27.6,8.4,35.6,17.1,25.0,9.7,116.6,106.3,94.9,55.2,119.4,38.4,75.5,29.5,120.6,25.7,79.6,11.6,97.2,86.1,106.0,65.8,0
2,1,0,2.2,2.85,13.74,12.73,1.92,12.04,2.2,2.2,3.25,2.65,16.0,15.7,9.9,0.75,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,2
