web_name,opponent_18,predicted_points_18,opponent_19,predicted_points_19,opponent_20,predicted_points_20,opponent_21,predicted_points_21,opponent_22,predicted_points_22,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Son,AVL,4.87,CRY,5.32,ARS,9.85,FUL,4.56,MCI,5.19,5.96,3.9,2.0,428,100.0,100.0,85971,0,0,-4,4,1,3,2.5,2.5,2,Son,False,,2022-11-02T00:00:07.969471Z,116,85971.jpg,Heung-min,6.0,False,0,a,18,6,55,1137530,2411,2771430,8940,0.2,4.7,1120,3,2,4,16,0,0,0,0,0,0,3,159,263.4,388.1,467.0,111.6,13,3.6173,1.87965,5.49695,14.2154,79,37,16,11,17,9,18,11,1.0,0.0,3.0,0.0,3.0,0.0,0.29068,0.0,0.15104,0.44172,1.14231,1.29,5,3,159,86,70,35,57,16,1.04464,0.32143,4,2,2,1,1.0,1.5,2.0,1.8,23.4,31.7,99.2,88.3,130.2,77.9,18.6,14.5,90.6,31.2,23.1,89.3,25.4,36.0,107.8,102.8,149.8,86.0,15.6,15.9,91.9,43.8,23.2,86.0,0,1,90.0,1.0,3.0,14.0,13.0,0.81,3.0,270.0,90.0,1.0,1.0,3.0,0.75,7.97,11.36,18.81,27.72,33.36,2.0,8.23,4.67,10.67,34.93,36.67
De Cordova-Reid,SOU,4.6,CHE,10.59,NEW,4.92,TOT,4.04,CHE,5.39,5.91,3.6,9.0,205,100.0,100.0,96994,0,0,0,0,0,3,9.0,9.0,9,Bobby,False,,2022-10-29T19:30:07.541813Z,55,96994.jpg,De Cordova-Reid,0.2,False,0,a,9,54,54,43610,3564,39948,516,1.6,9.8,1295,4,1,4,23,0,0,0,6,0,0,3,194,275.6,186.2,371.0,83.3,15,3.0571,0.63368,3.69078,25.3041,71,31,82,63,35,20,41,29,0.0,0.0,0.0,0.0,0.0,0.0,0.21246,0.0,0.04404,0.2565,1.75859,1.6,108,56,17,9,94,45,372,130,1.04247,0.27799,7,2,17,1,0.8,1.8,0.8,2.4,26.1,38.1,128.2,105.4,148.3,93.7,21.4,17.9,111.7,39.8,27.5,98.6,31.0,38.4,148.9,100.2,134.6,113.2,23.4,19.5,128.4,49.7,16.0,108.2,0,1,80.0,0.0,2.0,15.0,15.0,0.88,4.0,335.0,84.0,0.0,1.0,4.0,0.8,5.55,12.93,18.37,12.41,24.73,5.0,7.12,17.0,27.1,13.3,30.75
Trippier,LEE,6.35,ARS,4.26,FUL,5.98,CRY,5.82,WHU,6.94,5.87,6.8,12.0,357,100.0,100.0,77794,0,0,9,-9,3,2,12.0,12.0,12,Kieran,True,,2022-08-30T14:30:06.751009Z,59,77794.jpg,Trippier,66.4,False,0,a,15,4,108,6049405,55551,1263826,4405,2.0,18.3,1414,1,5,10,9,0,0,0,3,0,0,20,462,430.4,688.2,65.0,118.5,16,0.3884,4.633,5.0214,14.1232,12,2,2,1,219,49,16,1,1.0,0.0,1.0,0.0,0.0,0.0,0.02472,0.0,0.29489,0.31961,0.89893,0.57,69,6,7,2,4,1,2,1,1.01839,0.63649,10,2,11,1,1.4,1.7,2.4,2.8,26.4,36.5,129.2,100.6,135.1,96.5,13.4,13.9,85.0,30.1,23.5,70.7,35.8,53.5,188.2,137.6,209.2,134.8,9.0,17.5,98.1,47.9,29.0,73.6,1,0,90.0,0.0,1.0,16.0,16.0,0.94,5.0,439.0,88.0,0.0,0.0,5.0,1.0,7.41,28.88,26.9,43.01,4.06,8.8,7.6,36.0,33.72,40.46,1.6
Gündogan,EVE,6.5,CHE,4.45,TOT,8.77,WOL,5.25,TOT,4.34,5.86,3.6,2.0,300,100.0,0.0,59859,0,0,-2,2,0,3,3.0,3.0,2,Ilkay,False,,0,73,59859.jpg,Gündogan,2.1,False,0,a,13,43,47,696023,1432,715724,2556,0.3,6.4,980,2,2,4,10,0,0,0,0,0,0,3,196,230.8,339.2,302.0,86.9,11,2.5373,1.8358400000000001,4.37314,8.4337,109,45,25,19,44,27,36,25,4.0,0.0,2.0,0.0,5.0,0.0,0.23302,0.0,0.1686,0.40161,0.77452,0.92,32,16,155,83,96,46,114,39,1.0102,0.36735,11,2,8,1,0.7,1.1,0.8,1.4,23.9,39.1,107.6,122.7,161.9,80.9,19.2,18.3,91.3,52.1,39.1,89.5,27.2,43.8,118.8,136.2,184.6,87.2,22.8,15.9,97.4,37.3,23.4,99.6,0,1,90.0,0.0,6.0,13.0,11.0,0.65,4.0,360.0,90.0,0.0,1.0,4.0,0.8,6.68,15.08,17.75,26.09,23.23,3.0,5.55,10.25,13.7,19.97,22.5
Ødegaard,BHA,6.68,NEW,6.71,TOT,4.79,MUN,5.17,EVE,5.96,5.86,6.3,11.0,7,100.0,100.0,184029,0,0,-1,1,3,3,11.5,11.5,11,Martin,True,,2022-09-18T20:00:06.315087Z,64,184029.jpg,Ødegaard,17.9,False,0,a,1,3,88,2590823,132146,2271341,8728,1.7,13.8,1166,6,4,6,11,0,0,0,2,0,0,14,330,391.0,436.0,463.0,129.2,14,4.5302,3.2042900000000003,7.734489999999999,11.7369,22,9,9,6,18,10,10,5,4.0,0.0,1.0,0.0,0.0,0.0,0.34967,0.0,0.24733,0.597,0.90594,0.85,57,27,11,5,7,3,23,10,1.08062,0.46312,19,3,5,0,1.5,1.2,2.4,1.8,21.0,26.3,95.1,73.0,95.7,76.6,12.4,12.0,77.1,23.7,19.0,68.2,27.6,35.9,129.1,94.9,134.8,102.8,5.4,11.3,78.2,23.6,11.4,53.6,0,1,90.0,0.0,3.0,14.0,14.0,0.82,5.0,438.0,88.0,0.0,0.0,5.0,1.0,9.23,23.57,27.93,31.14,33.07,8.4,11.56,29.4,35.36,42.9,37.2
De Bruyne,EVE,5.47,CHE,5.15,TOT,9.03,WOL,5.24,TOT,4.25,5.83,6.1,2.0,301,100.0,0.0,61366,0,0,6,-6,2,3,3.0,3.0,2,Kevin,True,,0,126,61366.jpg,De Bruyne,39.3,False,0,a,13,43,92,5002197,13016,2915880,60795,0.2,7.3,1220,3,10,5,13,0,0,0,0,0,0,13,361,465.0,761.8,366.0,159.4,14,2.6614,7.28097,9.94237,9.9189,7,1,1,1,36,21,3,1,1.0,0.0,1.0,0.0,3.0,0.0,0.19633,0.0,0.53712,0.73345,0.73172,0.96,2,2,160,87,9,5,6,3,1.03279,0.36885,11,2,8,1,0.7,1.1,0.8,1.4,23.9,39.1,107.6,122.7,161.9,80.9,19.2,18.3,91.3,52.1,39.1,89.5,27.2,43.8,118.8,136.2,184.6,87.2,22.8,15.9,97.4,37.3,23.4,99.6,0,1,90.0,0.0,3.0,15.0,14.0,0.82,5.0,450.0,90.0,0.0,0.0,5.0,1.0,10.63,24.07,31.0,50.79,24.4,6.2,12.04,23.6,32.2,60.14,27.8
Mahrez,EVE,5.09,CHE,5.49,TOT,8.51,WOL,5.49,TOT,4.35,5.79,2.8,6.0,303,100.0,0.0,103025,0,0,-5,5,0,3,7.0,7.0,6,Riyad,False,,0,75,103025.jpg,Mahrez,1.5,False,0,a,13,43,28,126318,2139,542305,1693,0.8,3.7,455,1,2,2,7,0,0,0,1,0,0,1,111,92.0,207.7,174.0,47.4,5,1.4553,0.95765,2.41295,3.0314,272,120,68,53,108,67,124,79,2.0,0.0,3.0,0.0,2.0,0.0,0.28786,0.0,0.18943,0.47729,0.59962,1.38,26,13,57,24,171,77,140,47,0.98901,0.3956,11,2,8,1,0.7,1.1,0.8,1.4,23.9,39.1,107.6,122.7,161.9,80.9,19.2,18.3,91.3,52.1,39.1,89.5,27.2,43.8,118.8,136.2,184.6,87.2,22.8,15.9,97.4,37.3,23.4,99.6,0,1,87.0,0.0,12.0,10.0,5.0,0.29,2.0,148.0,74.0,0.0,3.0,2.0,0.4,4.74,11.1,9.2,20.77,17.4,3.5,8.05,14.0,10.6,41.15,29.0
Saka,BHA,6.03,NEW,6.9,TOT,4.76,MUN,5.22,EVE,5.53,5.69,5.7,9.0,13,100.0,100.0,223340,0,0,0,0,2,3,9.5,9.5,9,Bukayo,False,,2022-10-30T20:30:06.843169Z,80,223340.jpg,Saka,19.0,False,0,a,1,3,85,2438371,92068,2618965,12470,1.1,10.6,1264,5,7,6,12,0,0,0,3,0,0,7,294,390.6,488.7,456.0,133.5,15,5.2716,2.31544,7.587039999999999,12.2304,23,10,6,5,20,12,9,4,2.0,0.0,0.0,0.0,1.0,0.0,0.37535,0.0,0.16487,0.54022,0.87084,0.85,19,9,20,11,16,8,21,8,1.06804,0.42722,19,3,5,0,1.5,1.2,2.4,1.8,21.0,26.3,95.1,73.0,95.7,76.6,12.4,12.0,77.1,23.7,19.0,68.2,27.6,35.9,129.1,94.9,134.8,102.8,5.4,11.3,78.2,23.6,11.4,53.6,0,1,90.0,1.0,2.0,15.0,14.0,0.88,5.0,386.0,77.0,0.0,1.0,4.0,0.8,8.9,19.6,26.04,32.58,30.4,4.4,7.04,15.8,20.84,37.58,12.0
Rashford,WOL,5.68,BOU,5.45,MCI,5.51,ARS,5.17,CRY,6.55,5.67,5.1,14.0,335,100.0,100.0,176297,1,-1,3,-3,2,3,14.0,14.5,14,Marcus,False,,2022-09-15T22:00:06.254533Z,68,176297.jpg,Rashford,30.6,False,0,a,14,1,76,4830377,286235,2741882,10521,2.1,11.2,1211,5,3,6,17,0,0,0,1,0,0,9,199,303.4,183.1,547.0,103.4,14,4.6219,1.36499,5.98689,15.3718,60,25,85,65,14,6,23,16,0.0,0.0,2.0,0.0,4.0,0.0,0.34349,0.0,0.10144,0.44494,1.14241,1.26,46,23,3,1,22,11,11,5,1.04046,0.44591,16,2,20,0,0.6,1.5,1.0,2.2,26.4,35.5,120.8,102.6,132.1,92.4,22.2,14.5,86.4,32.6,25.4,94.4,32.4,37.0,143.9,93.5,132.0,112.0,23.2,16.9,101.6,36.2,30.4,97.8,0,1,85.0,2.0,1.0,15.0,14.0,0.93,5.0,435.0,87.0,0.0,0.0,5.0,1.0,6.89,13.27,20.23,12.21,36.47,5.8,8.2,13.6,22.72,8.78,50.4
Zakaria,NFO,4.45,MCI,8.95,CRY,5.23,LIV,4.9,FUL,4.74,5.65,3.0,3.0,616,100.0,100.0,212701,0,0,0,0,0,3,4.0,3.5,3,Denis,False,,2022-09-02T14:30:07.213170Z,50,212701.jpg,Zakaria,0.0,False,0,a,6,8,3,5948,437,4129,143,0.6,0.6,81,0,0,1,0,0,0,0,0,0,0,0,10,8.2,1.8,24.0,3.4,1,0.1856,0.014169999999999999,0.19977,0.3742,406,178,392,189,312,154,396,176,0.0,0.0,0.0,0.0,0.0,0.0,0.20622,0.0,0.01574,0.22197,0.41578,0.0,199,113,85,40,143,63,520,205,1.11111,1.11111,3,2,16,0,0.6,1.9,0.8,2.0,28.5,44.2,135.0,137.8,169.2,103.5,22.4,15.0,88.5,35.8,25.8,95.6,33.6,48.1,149.0,142.0,190.8,113.6,17.8,15.7,91.4,38.7,26.8,90.4,0,1,81.0,0.0,11.0,1.0,1.0,0.08,1.0,81.0,81.0,0.0,4.0,1.0,0.2,3.4,10.0,8.2,1.8,24.0,3.0,3.4,10.0,8.2,1.8,24.0
