web_name,opponent_9,predicted_points_9,opponent_10,predicted_points_10,opponent_11,predicted_points_11,opponent_12,predicted_points_12,opponent_13,predicted_points_13,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Neto,WHU,4.88,CHE,4.99,NFO,4.79,CRY,3.79,LEI,6.06,4.9,2.4,2.7,486,100.0,0.0,247632,0,0,-4,4,0,3,2.7,1.7,2,Pedro,False,,0,51,247632.jpg,Lomba Neto,4.8,False,0,a,20,39,17,205910,7312,1222340,35302,0.5,3.3,577,0,0,4,6,0,0,0,1,0,0,0,60,57.6,187.0,163.0,40.8,220,91,14,11,36,26,35,26,1.0,0.0,4.0,0.0,0.0,0.0,13.0,3,19,0,0.4,1.1,0.6,0.8,21.5,25.1,78.7,82.2,90.1,80.4,23.8,16.4,97.6,38.0,28.1,97.1,14.6,20.2,58.3,67.9,76.6,58.0,16.4,15.4,90.4,39.3,23.8,79.4,0,1,85.0,0.0,1.0,7.0,7.0,0.88,4.0,339.0,85.0,0.0,1.0,4.0,0.8,5.83,8.57,8.23,26.71,23.29,2.5,5.5,7.0,6.75,27.72,20.5
Groß,LIV,4.54,TOT,5.15,BRE,5.22,NFO,3.97,MCI,5.57,4.89,7.0,5.0,104,100.0,0.0,60307,0,0,5,-5,2,3,4.0,0.0,0,Pascal,True,,0,60,60307.jpg,Groß,23.9,False,0,a,5,36,42,3135234,113994,1057399,146933,0.8,7.0,540,3,2,3,5,0,0,0,0,0,0,6,155,214.0,202.5,159.0,57.6,13,3,12,10,38,28,11,6,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5,12,0,1.9,0.8,2.2,0.2,17.2,21.1,81.8,56.7,72.9,64.1,6.9,11.7,94.9,14.8,7.0,56.0,11.4,13.8,48.5,44.2,45.8,41.8,5.2,8.9,74.0,8.7,5.8,46.8,0,1,0.0,0.0,2.0,6.0,6.0,0.75,3.0,270.0,90.0,0.0,2.0,3.0,0.6,9.6,25.83,35.67,33.75,26.5,6.0,8.77,26.67,32.07,34.73,20.67
Toney,BOU,4.86,NEW,5.01,BHA,4.48,CHE,5.28,AVL,4.77,4.88,6.7,9.5,80,100.0,0.0,144485,1,-1,3,-3,1,4,10.0,9.0,2,Ivan,True,,0,73,144485.jpg,Toney,22.2,False,0,a,4,94,47,2701254,321445,1208320,76485,1.3,6.4,630,5,2,1,12,0,0,0,1,0,0,8,163,231.0,140.5,180.0,55.3,6,5,36,3,27,9,13,6,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,3,0,0.8,2.4,0.8,2.4,28.4,41.6,130.6,130.8,154.5,103.1,23.8,17.0,84.2,50.8,35.8,100.8,25.4,38.6,123.5,108.4,154.4,94.4,21.2,18.3,88.6,60.8,34.0,91.0,0,1,90.0,0.0,1.0,7.0,7.0,0.88,4.0,360.0,90.0,0.0,1.0,4.0,0.8,7.9,23.29,33.0,20.07,25.71,5.5,6.72,20.25,29.15,14.62,23.25
Firmino,BHA,4.68,ARS,4.27,MCI,4.46,WHU,5.07,NFO,5.82,4.86,7.0,5.0,279,100.0,100.0,92217,0,0,0,0,1,4,6.0,0.0,0,Roberto,False,,2022-08-16T00:30:06.283883Z,80,92217.jpg,Firmino,2.9,False,0,a,12,14,35,421195,13658,350711,24818,0.6,4.4,343,3,3,1,4,0,0,0,0,0,0,6,142,205.4,106.5,297.0,61.1,15,6,57,5,6,5,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,1,1.4,0.6,1.4,0.8,14.6,20.2,65.9,60.2,76.0,54.6,7.8,11.3,63.0,27.2,22.6,51.5,14.2,17.0,69.3,43.1,57.8,53.6,3.8,7.2,52.4,14.1,5.2,36.2,0,1,0.0,1.0,3.0,5.0,4.0,0.57,3.0,203.0,68.0,0.0,3.0,2.0,0.4,12.22,28.4,41.08,21.3,59.4,10.67,17.87,42.0,60.53,29.07,88.67
Sterling,CRY,5.36,WOL,4.26,AVL,5.48,BRE,5.15,MUN,4.0,4.85,5.7,2.0,304,100.0,0.0,103955,0,0,0,0,1,3,2.5,0.0,0,Raheem,False,,0,100,103955.jpg,Sterling,9.6,False,0,a,6,8,34,950904,88313,681100,59836,0.2,3.4,513,3,1,1,8,0,0,0,1,0,0,4,82,142.4,123.6,206.0,47.2,53,26,46,34,20,14,26,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0,0.9,1.1,0.6,1.0,20.0,32.3,91.8,97.5,134.6,76.2,15.2,16.7,82.2,49.0,36.0,76.4,18.2,29.2,78.1,85.8,128.0,68.8,11.4,12.7,58.0,40.4,28.8,56.6,0,1,0.0,0.0,2.0,6.0,6.0,0.75,3.0,254.0,85.0,0.0,2.0,3.0,0.6,7.87,13.67,23.73,20.6,34.33,8.33,9.23,24.33,38.6,18.27,35.33
Alexander-Arnold,BHA,4.09,ARS,4.72,MCI,5.65,WHU,5.89,NFO,3.74,4.82,4.0,1.5,285,100.0,0.0,169187,-1,1,-1,1,1,2,2.5,0.0,0,Trent,False,,0,74,169187.jpg,Alexander-Arnold,36.2,False,0,a,12,14,24,847930,54352,2632707,199896,0.2,3.2,480,1,1,1,6,0,0,0,1,0,0,3,127,125.4,241.7,72.0,44.0,79,24,5,2,107,14,32,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3,5,1,1.4,0.6,1.4,0.8,14.6,20.2,65.9,60.2,76.0,54.6,7.8,11.3,63.0,27.2,22.6,51.5,14.2,17.0,69.3,43.1,57.8,53.6,3.8,7.2,52.4,14.1,5.2,36.2,1,0,0.0,0.0,2.0,6.0,6.0,0.75,3.0,210.0,70.0,0.0,2.0,3.0,0.6,7.33,21.17,20.9,40.28,12.0,6.67,6.77,26.0,24.8,34.4,8.33
Cancelo,MUN,5.72,SOU,7.14,LIV,5.68,0,0.0,BHA,5.41,4.79,6.0,7.7,306,100.0,0.0,121145,0,0,2,-2,3,2,8.7,8.7,9,João,True,,0,72,121145.jpg,Cancelo,51.5,False,0,a,13,43,42,1754679,124052,967674,53518,1.1,5.8,577,1,1,4,6,0,0,0,2,0,0,7,172,136.4,131.2,101.0,36.8,65,15,40,8,76,7,42,5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3,14,1,1.0,1.0,1.0,0.2,18.8,32.2,88.0,106.8,126.9,75.6,10.9,10.2,63.7,16.5,22.1,56.1,10.0,23.2,53.5,92.9,86.6,49.8,5.0,6.3,41.4,8.9,12.6,33.4,1,0,90.0,0.0,1.0,7.0,7.0,0.88,4.0,307.0,77.0,0.0,1.0,4.0,0.8,5.26,24.57,19.49,18.74,14.43,6.0,6.1,24.25,23.7,21.32,16.0
Martinelli,TOT,4.05,LIV,5.93,LEE,6.47,0,0.0,SOU,7.24,4.74,5.6,5.0,19,100.0,0.0,444145,1,-1,6,-6,1,3,5.0,5.5,3,Gabriel,False,,0,66,444145.jpg,Martinelli Silva,47.5,False,0,a,1,3,39,3383176,111267,907692,135524,0.8,5.9,601,3,1,3,7,0,0,0,0,0,0,4,133,176.2,220.7,330.0,72.7,25,8,7,5,5,1,6,2,1.0,0.0,2.0,0.0,2.0,0.0,4.0,3,18,1,2.2,0.9,2.2,0.8,16.0,29.0,76.4,111.1,102.6,69.0,8.2,18.4,112.6,43.6,27.5,72.9,15.0,26.3,70.1,91.2,102.4,64.2,7.0,15.9,105.6,42.4,10.8,70.0,0,1,77.0,0.0,1.0,7.0,7.0,0.88,4.0,347.0,87.0,0.0,1.0,4.0,0.8,10.39,19.0,25.17,31.53,47.14,4.25,12.2,17.25,23.4,36.85,61.5
Fernandes,MCI,5.51,EVE,4.31,NEW,4.23,TOT,4.06,CHE,5.54,4.73,3.7,5.0,333,100.0,0.0,141746,0,0,-2,2,0,3,4.0,0.0,0,Bruno,False,,0,98,141746.jpg,Borges Fernandes,2.3,False,0,a,14,1,22,124520,6808,244465,11099,0.5,2.2,539,1,1,2,8,0,0,0,2,0,0,2,85,138.6,162.6,168.0,47.0,60,30,23,19,32,23,27,21,2.0,0.0,2.0,0.0,2.0,0.0,0.0,5,13,0,2.9,0.8,2.8,0.6,15.0,15.4,60.3,40.4,53.9,54.4,4.5,10.4,76.4,17.4,9.9,53.1,12.4,11.0,46.8,30.6,32.8,43.2,3.8,8.6,64.9,12.2,8.4,48.4,0,1,0.0,0.0,2.0,6.0,6.0,0.75,3.0,270.0,90.0,0.0,2.0,3.0,0.6,7.83,14.17,23.1,27.1,28.0,6.0,9.6,19.0,32.4,24.53,39.0
Pope,FUL,5.35,BRE,4.51,MUN,4.52,EVE,5.32,TOT,3.91,4.72,5.4,5.3,376,100.0,0.0,98747,0,0,2,-2,1,1,5.3,5.8,2,Nick,True,,0,52,98747.jpg,Pope,19.1,False,0,a,15,4,38,1654365,184784,288662,54778,1.0,7.3,630,0,0,3,7,0,0,0,0,0,30,6,164,214.2,0.0,0.0,21.4,12,4,608,61,605,61,127,4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,9,0,1.5,1.4,1.4,1.4,22.2,34.8,105.0,96.1,146.9,78.8,13.0,14.3,80.9,27.0,35.4,70.1,20.0,34.9,104.0,97.2,148.2,74.4,10.2,14.7,73.6,30.0,43.6,61.0,1,0,90.0,0.0,1.0,7.0,7.0,0.88,4.0,360.0,90.0,0.0,1.0,4.0,0.8,3.06,23.43,30.6,0.0,0.0,4.75,3.18,22.25,31.85,0.0,0.0
Harrison,AVL,4.44,CRY,3.44,ARS,5.17,LEI,5.79,FUL,4.71,4.71,4.8,1.0,233,100.0,0.0,221399,0,0,2,-2,1,3,1.0,0.0,0,Jack,False,,0,62,221399.jpg,Harrison,4.7,False,0,a,11,2,29,775493,28854,468976,38994,0.2,4.7,463,1,3,1,7,0,0,0,2,0,0,5,94,157.6,223.8,120.0,50.1,38,18,6,4,56,35,18,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0.8,1.2,0.6,0.8,21.0,29.4,92.9,78.2,122.2,73.2,16.8,14.9,86.7,30.5,32.0,82.6,19.0,28.0,83.0,84.3,113.0,67.8,15.0,12.1,70.8,19.5,30.4,73.2,0,1,0.0,0.0,3.0,6.0,5.0,0.62,3.0,208.0,69.0,0.0,3.0,2.0,0.4,8.35,15.67,26.27,37.3,20.0,1.67,5.07,2.67,7.07,25.67,18.0
Foden,MUN,5.08,SOU,8.15,LIV,5.7,0,0.0,BHA,4.43,4.67,4.6,4.7,314,100.0,0.0,209244,0,0,0,0,0,3,5.7,5.7,8,Phil,False,,0,80,209244.jpg,Foden,7.7,False,0,a,13,43,32,661499,38296,587214,41890,0.6,4.0,527,2,3,2,6,0,0,0,1,0,0,0,131,158.0,204.1,172.0,53.4,37,17,11,9,30,21,14,8,3.0,0.0,0.0,0.0,0.0,0.0,20.0,3,14,1,1.0,1.0,1.0,0.2,18.8,32.2,88.0,106.8,126.9,75.6,10.9,10.2,63.7,16.5,22.1,56.1,10.0,23.2,53.5,92.9,86.6,49.8,5.0,6.3,41.4,8.9,12.6,33.4,0,1,71.0,0.0,2.0,7.0,6.0,0.75,4.0,305.0,76.0,0.0,1.0,4.0,0.8,7.63,18.71,22.57,29.16,24.57,4.5,6.65,16.25,18.65,24.2,23.75
Saka,TOT,4.28,LIV,5.66,LEE,6.57,0,0.0,SOU,6.53,4.61,5.3,7.0,13,100.0,0.0,223340,0,0,-2,2,0,3,7.0,7.5,9,Bukayo,False,,0,78,223340.jpg,Saka,11.6,False,0,a,1,3,37,469273,64737,1411850,46667,0.9,4.7,617,1,5,3,7,0,0,0,1,0,0,1,126,157.0,209.8,246.0,61.2,41,20,9,7,12,7,9,5,2.0,0.0,0.0,0.0,1.0,0.0,4.0,3,18,1,2.2,0.9,2.2,0.8,16.0,29.0,76.4,111.1,102.6,69.0,8.2,18.4,112.6,43.6,27.5,72.9,15.0,26.3,70.1,91.2,102.4,64.2,7.0,15.9,105.6,42.4,10.8,70.0,0,1,90.0,0.0,1.0,7.0,7.0,0.88,4.0,357.0,89.0,0.0,1.0,4.0,0.8,8.74,18.0,22.43,29.97,35.14,6.5,10.9,21.5,32.35,32.1,44.75
Podence,WHU,5.04,CHE,4.88,NFO,3.81,CRY,3.76,LEI,5.56,4.61,4.0,4.7,483,100.0,0.0,200600,0,0,0,0,1,3,4.7,3.7,2,Daniel,False,,0,55,200600.jpg,Castelo Podence,1.2,False,0,a,20,39,28,182682,8617,185703,7939,0.9,5.1,410,2,0,2,6,0,0,0,1,0,0,6,71,96.0,155.3,100.0,35.2,130,51,32,24,77,47,48,36,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3,19,0,0.4,1.1,0.6,0.8,21.5,25.1,78.7,82.2,90.1,80.4,23.8,16.4,97.6,38.0,28.1,97.1,14.6,20.2,58.3,67.9,76.6,58.0,16.4,15.4,90.4,39.3,23.8,79.4,0,1,69.0,0.0,3.0,7.0,5.0,0.62,4.0,172.0,43.0,0.0,3.0,2.0,0.4,5.03,10.14,13.71,22.19,14.29,3.75,4.68,9.75,11.85,19.38,15.5
Gray,SOU,5.83,MUN,4.93,TOT,3.08,NEW,4.79,CRY,4.32,4.59,3.3,3.0,189,100.0,0.0,172632,0,0,0,0,0,3,3.0,3.0,3,Demarai,False,,0,55,172632.jpg,Gray,1.0,False,0,a,8,11,23,100718,7610,99264,6605,0.5,4.2,610,1,0,2,5,0,0,0,0,0,0,2,73,97.8,155.0,228.0,48.1,127,49,34,26,13,8,22,16,1.0,0.0,1.0,0.0,3.0,0.0,19.0,2,17,0,0.9,1.4,0.4,0.8,22.1,32.9,111.0,90.4,128.6,79.0,19.9,14.9,93.8,23.9,30.9,91.4,20.2,28.9,94.8,72.6,122.6,64.2,22.4,11.7,81.5,22.3,13.4,92.8,0,1,80.0,0.0,1.0,7.0,7.0,0.88,4.0,350.0,88.0,0.0,1.0,4.0,0.8,6.87,10.43,13.97,22.14,32.57,2.5,6.32,8.25,10.6,23.08,29.5
